Age     Sea_Level  d18o
159326	-62	   0.51
159819	-61	   0.5
160312	-97	   0.79
161002	-93	   0.76
161593	-78	   0.64
162086	-65	   0.53
163795	-76	   0.62
165634	-71	   0.58
167409	-55	   0.45
168000	-49	   0.4
